,name_and_description,conservative
66,Passionate wife mother of five writer lover of truth and justice,1.0
67,Aussie Ruski gal Married Christ Follower conservative Fighter for all human life exception PEDOPHILES and lefties,1.0
68,🇦🇺  The Canberra Declaration is call to Christian conscience Awaken Encourage Unify Educate Equip,1.0
69,❌ 🇺🇸 🌩 ⏳ 🌩 🇺🇸 ❌  Opinionated Red pilled Grt Grnddaughter of Union Gen James Blunt Grnddaughter of 1st Chr st missionaries to Cuba He will lift the veil so ALL will see,1.0
70,🐈  MAGA KAG Trump 2020 Landslide Victory Conservative woman 🇺🇸 Loves cats 🐱 Hates pink pussy hats Smirker 😏 Serial retweeter Cult 45,1.0
71,❌ ❤ ️ 🇺🇸 ⭐ ️ ⭐ ️ ⭐ ️  Educated country lady working in mental health—did not vote4party—voted for Trump MAGA Followed by therealroseanne mitchellvii TheRealHublife,1.0
72,🎖 🇺🇸 🇺🇸  MAJretUSAUSN SmellyDeplorable MAGA KAG Husband Dad Dziadzi CafeteriaCatholic OIF1CombatVet Medical CCL NRA BuildtheWall DraintheSwampNOW will endwith 🎖 🇺🇸 🇺🇸,1.0
73,⭐ ️ ⭐ ️ ⭐ ️  Army 🤺 TRUMP2020 🇺🇸 WWG1WGA 🔔 Jesus ✝ ️ Faith 👶 🏼Family 🇺🇸 Freedom MAGA 🌟 Constitution 🙏 🏽Israel 🇮🇱 ♥ ️ Vets 🇺🇸 PRO 👶 🏼LIFE Trust The Plan 1A 2A Walk Away,1.0
74,🕯 🕯  come in the Name of Jesus Strong Bible based Christian content Jesus Gospel Grace Faith Pro Life Liberty KJV Only No Porn No Soliciting NoTags NoDM,1.0
75,,1.0
76,🇺🇸  Love God family and country Veterans 1A 2A Patriot MAGA2020 Trump 2020 Landslide Victory Dog Lover Dalmatians Rule NO TRAINS,1.0
77,Adore my kids grandsons 💓 America 🇺🇸 Wine 🍷 Country Music 🎸 Jesus 🙏 Not lookin4twitter dates DON DM ME leolady Gods Grace Trump 2020 MAGA,1.0
78,Angry with swamp draintheswamp MAGA Trump KAG WWG1WGA Trump 2020,1.0
79,,1.0
80,Love God my Family my Canada Horses and Gardens,1.0
81,We ♥ ️ Jesus married 47 years to wonderful man beautiful children our Special Forces son Gavin in Heaven Dogs We ♥ ️ President Donald Trump WWG1WGA,1.0
82,,1.0
83,Follower of Christ Trump Supporter Truth Seeker MAGA 2A WWG1WGA,1.0
84,🇺🇸 🚂 🇺🇸,1.0
85,Grandmother prior service AF Hon Dischg civil servant for Army happily married converted Catholic two grandchildren and daughter in law and son 😎,1.0
86,,1.0
87,Christian first wife daughter sister cousin friend Nurse and Patriotic American,1.0
88,❤ ️  ❤ ️ 🇺🇸 🌎 🙏 💪 🏻 😊 MAGA Here to join with fellow Patriots to support our POTUS Praising the Lord,1.0
89,Trump Landslide2020 KAG Cult45 devotee,1.0
90,mind my own business you should try it sometime,1.0
91,Love family friends sport Jazz great food red wine and Malt Whiskey nature business personal challenges politics and comedy,1.0
92,Planters employee since 1976 All people with Trump derangement syndrome will be blocked God bless America Trust the plan and enjoy the show MAGA,1.0
93,Vietnam 1970 Conservative Follower of Jesus Christ ♥ ️ Husband 48 years Favor Republican Party Love America ✍ ️ 2nd Amendment Concern violent left Trump 2020,1.0
94,,1.0
95,am the guy they call when the software project is not working Favorite movie The Lathe of Heaven,1.0
96,Supports equal rights for all woman is right to choose gun reform Does not support GOP NRA the human Cheeto Filters are for selfies not thoughts,0.0
97,,1.0
98,🇺🇸  MAGA 2020 am on twitter for President Trump if are not do not waste my time by tweeting me KAG 🇺🇸 🇺🇸 🇺🇸 🇺🇸,1.0
99,,0.0
100,Trump is criminal white supremacist has narcissistic personality disorder and is Serial Liar who only cares about Trump Crime Family Pronouns genderpronouns,0.0
101,Graduate of Texas University,1.0
102,,1.0
103,,0.0
104,🙄 🙄  🙏 Thank You God Team JESUS 🙏 🇺🇸 💰 💰 MAGA Since Day 💰 💰 🇺🇸 ⚾ ️ YANKEES ⚾ ️ 🏈 PATRIOTS 🏈,1.0
105,1611 was fulfilled in Psalms 12,1.0
106,Follower of Jesus Conservative support our beloved POTUS and FLOTUS Patriot Love USA no DM MAGA KAG WWG1WGA Trump Pence 2020 Voter ID Be Best Qanon,1.0
107,,1.0
108,Web design artist blogger stargazer creation lover dreamer Belong to Jesus,1.0
109,am not perfect person but strive daily to become better person,1.0
110,We  love my God my kids and my country MAGA Qanon Great Awakening Jesus Christ is my Lord and Savior 😇 😍 🇺🇸,1.0
111,Proud Navy Brat Make sure what you believe to be true is true Follow Facts Not Opinions,1.0
112,⌛  EXPLICIT CONTENT FOR MATURE AUDIENCES RETWEETS PROBABLY MORE STUDY THAN ENDORSEMENT collapse environmentalism LHP CHAOS WordPress,1.0
113,am female Psychologist motivated and inspired by women is world Spanish French English German and Italian are the languages you will find here,0.0
114,PLUS FexSem0 Yaha1What 🌴 GottA TRy tA ImProViZe With TwiTTer ChanGez FuCKinG AccOunTz TheZe DAYS 🐸 ReLigiOus SpiRiTual DuDe NuMero UnO 🌵,1.0
115,We Stand Ready  ◄ Revelation 17 ► Married Mother patriot No Lists Porn Dating Trump Is My POTUS Ilove FLOTUS We have to UNITE or we lose God Bless,1.0
116,The King James Bible is the one true word of God,1.0
117,BSc in Biology specializing in physiology ecology evolution Taking the time to spread the scientific method and inform,0.0
118,⭐ ⭐ ⭐ 🇺🇸  Jesus Christ is Lord of my life He saved me from my sin live my life to please only Him American Patriot Trump Supporter Follower,1.0
119,,1.0
120,,1.0
121,,1.0
122,You Can Take Your WHITE 🤬 GUILT Shove it 😍 BACON 🥓 🇺🇲 👍 Gods Hand on Trump God Family Country Love Our Men Women Dogs in All Uniforms 🇺🇲,1.0
123,Retired FAA Radar Operations Engineer Now working part time for FAA,1.0
124,pray John 16 For God so loved the world that he gave his one and only Son that whoever believes in Him shall not perish but have eternal life,1.0
125,The truth will set you Free,1.0
126,am BabyBoomer that cannot stand what has happened to our beautiful country hard working American Patriots and honorable veterans,1.0
127,Time to Wake Up People,1.0
128,,1.0
129,,1.0
130,,0.0
131,will follow back when twitter allows Thanks,1.0
132,,1.0
133,,1.0
134,⭐ ️ ⭐ ️ ⭐ ️  ✝ ️ 🇺🇸 Roman Catholic Eucharist Constitutional Conservative Kof 4th PROLIFE Troops 2A AOH TRUMP2020 🇺🇸 MAGA Cops 🇺🇸 WWG1WGA Lived countries,1.0
135,MAGA,1.0
136,Government Politics NASCAR Gov Officials Agencies Tech Professionals Reporters Technology,1.0
137,😊  Ballerina fierce momma bear RN,0.0
138,🐲  UNCHILD BATCAVE NO VISIION IS TOO BIG Sisters Striving For Excellence INC 🦋 CameraGorilla187 📸 • Visual IG 333 visiion As Seen By Chev Chev Cut Convo,0.0
139,God Family Patriot packin Mamma Bear,1.0
140,Jesus 1st USA 2nd Family 3rd My mission is to get the correct facts only do not trust msm Retweets are for me only Not looking for followers KAG MAGA,1.0
141,,0.0
142,é 🍒  Instagram ines arif sc inesjarif,0.0
143,finally have met my soulmate it was well worth the wait,1.0
144,conservative deplorable MAGA married animal lover NO DM PLEASE Go Trump,1.0
145,🇨🇦 🇺🇸  Give me liberty or give me death MCGA MAGA Libertarian 🏛 🇨🇦 True North Strong and Free 🇨🇦 Spelling mistakes maybe on purpose,1.0
146,God First Trump 2020 Need Twitter to vent screaming at TV is not cutting it 🗣 Hey Americans do not just respect America is laws we UNITE,1.0
147,DECISIONS ARE MADE BY THOSE WHO SHOW UP 🌸 Animal Lover 🌸 Animal Rescue 🌸 No Lists 🌸 No DM is,0.0
148,An Explorer in the Further Reaches of Experience Expert in Awesomeness,1.0
149,FREESPEACH101  black conservative Free thinker loves rock music love my bible and my county oh and did say am conspiracy theorist walkaway and am patriot,1.0
150,,1.0
151,,1.0
152,,1.0
153,❌ ❌ ❌ ⭐ ⭐ ⭐ 🐶 ❤  alkaline by design found in the high desert here for realDonaldTrump CULT45 no dms PLZ mischabi gab ai END HELP ❤ 🇺🇸,1.0
154,« movie is like background love hate action violence and death in one word it is emotion » ✏ 📽,0.0
155,MAGA Trump Pence 2020,1.0
156,Lover of The Father Jesus Christ and The Holy Spirit Lover of The Constitution Of The United States Of America and The Bill Of Rights,1.0
157,Truck driving motorcycle riding Christian Lover of truth and all those who pursue it Philip focus on anything that is true lovely and pure,1.0
158,Truth seeker researcher Trump supporter MAGA KAG Qanon,1.0
159,Throne Gaz er ♡ Wife ♡ Mother ♡ Sister ♡ Friend ♡ Daughter of the Most High God ♡ Psalm91 ♡ ProLife Adoption End Abortion WWG1WGA MAGA Trump 2020,1.0
160,🤡 🌍 🇮🇪 👌 🍺 🥧  whatever it is am against it,1.0
161,,1.0
162,Truth justice and Yeshua is way 🇺🇸 ❤ ️ 🙏,1.0
163,USMC Veteran • Sales Leader • God Country Corps Family • MAGA KAG MCGA NRA • 1A 2A • Semper Fi,1.0
164,🇺🇸 🇺🇸  Faith Family Freedom Corinthians 10 Single Mom Loves Jesus MAGA 2A NRA Constitutionalist Cancer Sucks,1.0
165,love Hashem Adonai my land of Yisrael and my people will always defend and support Yisrael with all of my being KAG Trump 2020 WINNING 🇺🇸 🇮🇱 ✡ 🕎 ✝,1.0
166,Shy girl David Cook Daughtry Nick Fradiani Kris Allen Lethal Weapon SVU Arrow NCISLA ITB Lewis Tan Kevin Rahm Grand Hotel Wu Assassins David Dastmalchian,0.0
167,Owner IBC INC Braze industry international consulting and development services,1.0
168,,1.0
169,73 year old Mother of girl boys grands greats 20 yrs Ethan Allen Antique Shop owner love Saints cooking 💕 POTUS DAY MAGA 👊 🔥 🔥 ❤ ️ 🇺🇸 🙏 😍 🎄 😇,1.0
170,The Lord is my Shepherd shall not want,1.0
171,,1.0
172,Happily married homemaker resistor anti tRumper believer in equality for all and proud liberal RESIST,0.0
173,servant and soldier of Jesus Christ veteran conservative Constitutional patriot pro Israel pro life pro Trump pro NRA supporter MAGA WWG1WGA,1.0
174,,1.0
175,Sojourner follow people for my interest is sake block others because it is too much traffic or redundant or rude Jesus saves,1.0
176,,1.0
177,,0.0
178,⭐ ️ ⭐ ️ ⭐ ️ 🇺🇸 ❌ 💥  MAGA Trump 2020 WWG1WGA TRUST THE PLAN happily married 🇺🇸 💯 💥 🥊 🚨 ❌ QAnon wo not chat with other men thru DM is,1.0
179,From Dallas GA Georgia boy that transplanted to Kansas in 2015 GO DAWGS Falcons and Braves fanatic Love family God and Country MAGA TRUMP2020,1.0
180,Proud Trump supporter love God country family and dogs Retired Manager Cust Serv USPS Enjoy traveling with my husband of 43 years with our fur babies,1.0
181,,1.0
182,,1.0
183,⭐ ️ ⭐ ️ ⭐ ️  Jesus FIRST ✝ ️ MARRIED 💍 Singer Pianist 🎶 Designer 💜 SRA SURVIVOR ✝ ️ GOD BLESS POTUS FLOTUS GenFlynn JFKJR MAGA gab ai Celestial1 WWG1WGA 👊 🇺🇸,1.0
184,,1.0
185,,1.0
186,,1.0
187,🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸  Liberalism is not only Mental Illness it is Spiritual Wickedness ❗ ️,1.0
188,Jesus is Lord,1.0
189,am indep woman Love God and my country Married to wonderful man Have wonderful children grandchild Dallas Cowboy fan Been on Twitter about yrs,1.0
190,🇺🇸 🇺🇸  🙏 🇺🇸 🗽 MAGA KAG 911 Fake Attack Take Back Education Disband NEA STOP Socialism,1.0
191,am follower of Christ wife mother grandmother Support Freedom Trump USConstitution 2A,1.0
192,🧜 ‍ ♀ ️  MAGA Red in the deep Blue Pacific,1.0
193,🙌 🏽 ✨ 🌹 Jesus is King 🌹 ✨ 🙌 🏽 Save The 👶 🏻 🐶 🐱 ❤ ️ Pina Coladas getting caught in the 🌧,1.0
194,IFB 🚂 MAGA 🇺🇸 President Trump all the way 🇺🇸 🇺🇸,1.0
195,All Posts Are Made By My Own Views Through Scientific Facts And Religious Beliefs This Includes Views On Behalf Of Our Government,1.0
196,,1.0
197,🇺🇸 ❤ 💙 ⭐ ⭐ ⭐  Just simple Southern lady saved by the Grace of Jesus Christ ❤ TRUMP 2020 🇺🇸 ❤ Qanon ❤ Conspiracy REALIST 💙 stand with Gen Flynn 🌟 🌟 🌟,1.0
198,We stand against any onslaught of the demonic wearing the full armor of God Not the spirit of fear but of power and of love and of sound mind,1.0
199,Christian Father Husband Conservative Opinions expressed are mine and not reflective of the opinions of those associate with professionally or otherwise,1.0
200,married for 35 years,1.0
201,✝ ️ 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🔯  My friends are of all different cultures but are the same in America American Jesus freak ✝ ️ ✝ ️ ✝ ️ ✝ ️ Family oriented More Native American than Elizabeth,1.0
202,,1.0
203,🇺🇸  Deplorable and voted for Donald Trump ⭐ ️ ⭐ ️ ⭐ ️ Ready to KAG in 2020,1.0
204,,1.0
205,Jesus Freak Married mother Kentucky Colonel Leader Strength Coach Researcher Survivor of chicken pox Trump 2020 Deplorable For Life WWG1WGA,1.0
206,,1.0
207,WWG1WGA,1.0
208,Save The Littles Trump Changes Everything Trump Speed The Truth Will Set You Free But First It Will Make You Mad am not out of my mind am just out of yours,1.0
209,In love with my Jesus TRUST THE PLAN pro life build the wall love President Trump pray for our country MAGA2020 juan savin lives,1.0
210,Hard working wife mom mamoo Love my country Thank God for His Blessing,1.0
211,Wife of Vietnam Vet Mother Lover of God and Country Patriot Supporter of our Troops and all things Trump MAGA WWG1WGA,1.0
212,And you shall know the Truth and the Truth shall make you free John 32 WWG1WGA Pro Life Proud Momand Mimi MAGA Trump 2020 Qanon,1.0
213,,1.0
214,,1.0
215,,1.0
216,🇺🇸 THE UNITED STATES OF AMERICA IS CONSTITUTIONAL REPUBLIC 🇺🇸,1.0
217,,1.0
218,,1.0
219,🇺🇸 🇺🇸 🇺🇸 🇺🇸  Enough with globalist clown world Return to tradition and reality Reject the revolution MAGA2020 ✝ ️ Celebrate Western Civilization,1.0
220,Jesus Christ He holds all things together,1.0
221,,1.0
222,Mother girlfriend conservative child of the one TRUE GOD Rom 15 13,1.0
223,✨,1.0
224,,1.0
225,,1.0
226,To live to learn to have faith,1.0
227,,1.0
228,⭐ ️ ⭐ ️ ⭐ ️  Look me up on Facebook or YouTube Qanon WWG1WGA MAGA,1.0
229,,1.0
230,Retired Administrative Assistant Widow Love to Fish Love the Florida Keys and all tropical places,1.0
231,,1.0
232,Christian Married to the love of my life Army veteran seeker of truth regardless of how crazy it may seem MAGA God bless America Go Astros 🇺🇸 ✝ ️,1.0
233,🇺🇸 💪  FEMA Region Christian support 2A AND support our 45 POTUS Politics World News History Health,1.0
234,Patriot wife sister love the Lord Jesus Christ my Savior and Donald Trump Love FLOTUS too Qanon,1.0
235,,1.0
236,,1.0
237,Jesus Christ follower ProLife Patriot,1.0
238,,1.0
239,Follows Jesus Love my Family Republican Advocates President Trump,1.0
240,🇺🇸  Promoting and spreading conservative values of our Founding Fathers,1.0
241,Hairdresser Jesus saves,1.0
242,Christian wife mother MiMi MAGA 2A WWG1WGA KAG,1.0
243,🌷  new day is coming soon ✌ 🏼 Great Awakening ☀ ️,1.0
244,Retired Treat everyone with respect 🌺 🌺 🐶 🐶 🐶 🌹 🇺🇸 🇺🇸,1.0
245,,1.0
246,✝ ️ 💑 🇺🇸 ❤ ️  God is my daddy ✝ ️ Jesus is my Lord ❤ ️ The Holy Spirit is my guide 🙌 prayer warrior 💪 master gardener vermiculturist educator nutritionist 🍇 Patriot 🇺🇸,1.0
247,,1.0
248,,1.0
249,⭐ ️ ⭐ ️ ⭐ ️  Love God 🙏 🏻Family ❤ ️ Friends ❤ ️ and Country 🇺🇸 and of course 🐕 Dogs and 🐱 Kitties,1.0
250,Aboriginal Yuin Mummy to Wife to lover of Family History Travel Australian Politics Indigenous Rights 🇦🇺 🇺🇸 🇬🇧 🇧🇸 rhod rhobh nerd,0.0
251,Christian Patriot,1.0
252,911 forever changed me watched in horror as those buildings fell knew that very hour that nothing would ever be the same May the ugly truth prevail,1.0
253,,1.0
254,,1.0
255,🏅 🇺🇸  Oklahoma Patriots ❤ ️ my husband family God 🇺🇸 PROUD Military Mom NRA Gen Flynn Mooch Charles Payne followers 🇺🇸 TRUMP MAGA 🚫 DMs Anon,1.0
256,Freedom,1.0
257,Text TRUMP 88022,1.0
258,🌟 🌟 🌟  MAGA KAG GENFLYNN DDAYPATRIOTS QANON QARMY WWG1WGA,1.0
259,,1.0
260,♋ ️,1.0
261,Prayer Warrior Father Grandfather Trump Supporter Happily Married Son of God Support our Military MAGA KAG 🇺🇸 🇮🇱 Pro Life Abortion Is Murder,1.0
262,❌  Behind enemy lines in Cali the elites gave away my once Beautiful State of California Do not forget there are Conservatives forced to live in Oz Pray for us,1.0
263,NRA GOA SAF Life Member NRA Cert Range Officer NJ2AS Followed by RealJamesWoods GeneralFlynn Trump 2020 Kates Wall NO DM,1.0
264,Trump Gender The Dormouse Belfast Chancellor  identify as Trump Gender Easter Worshipper Molon Labe WWG1WGA Pronouns Easter Worshipper 80HD Bam Pow Krunch Sock Biff Zap,1.0
265,Proud American,1.0
266,WWG1WGA,1.0
267,,1.0
268,❌  Weather Weather,1.0
269,,1.0
270,🍒 🍒  Make America Great Again Trump supporter,1.0
271,love Jesus love people and care for them,1.0
272,,1.0
273,🇺🇲 🇺🇲 WWG1WGA 🇺🇲 🇺🇸 Text Trump 88022 JUST KID GROWING GRASS MOWING RED BLOODED AMERICAN GIRL Weightlifting TRX Training Gym Rat,1.0
274,Blessed to be here,1.0
275,,1.0
276,🇺🇸  MAGA Grandfather Pro American American Nationalist Pro Trump IFB Patriots For God And Country,1.0
277,IS THIS SCRIPTED OR IS THIS REAL am in LOVE with the TRUTH Adore my Creator have weird dogs and love them Jesus is God,1.0
278,,1.0
279,🤡  Resisting the on slot of the Treasonous GOP and their Village Idiot Mob Boss,0.0
280,Engaged to EngineerGodTTV Avid Gamer Nerd Twitch love to stream everything on PC PS4 Xbox One,1.0
281,,1.0
282,,1.0
283,Christian conservative Retired public high school teacher Coal miners daughter Trump deplorable 101 MAGA KAG Drain the swamp,1.0
284,Helping special needs daughter learn life skills develop hobbies focus on nutrition step by step,1.0
285,🏳 ️ 📣 ♌ ️,1.0
286,é  🇪🇦 📷 Photographer 📷 🎸 Musician 🎸 📃 Blogger 📃 🇪🇸 For business inquiries COLLAB Dm ✉ ️ 📍 SPA,1.0
287,am an Indian So according to the Democrat pandering am told you owe me everything This page is not for Democrat Liberals because the truth upsets them,1.0
288,❌  ❌ am patriot who loves our country and our President am here to support freedom and draining the swamp ❌ MAGA Trump 2020 Red Wave Rising KAG,1.0
289,,1.0
290,get all my news from millions of unknown people on Twitter,1.0
291,❌ ❌  Nationalist Catholic conservative Trump Pence tweet warrior for truth American patriot party outlaw lobbyists pass term limits citizen congress MAGA,1.0
292,⭐ ️ ⭐ ️ ⭐ ️  interesting,1.0
293,🇺🇸  🇺🇸 Christian Patriot 🇺🇸 Isaiah 54 17 🇺🇸 WWG1WGA Autism Yellow Vests 👷 ‍ ♀ ️ Build The Wall 🇺🇸 ✝ ️ Great is Thy Faithfulness nona,1.0
294,Maga crazy deplorable believer Wwg1wga,1.0
295,❌ ☝ ️ 🕊 🇮🇱 🇺🇸  All Scripture is given by inspiration of God and is profitable for doctrine for reproof for correction for instruction in righteousness,1.0
296,Husband Dad Recovering Gunner,1.0
297,🙏 🇺🇸 🌟 🌟 🌟  Married Christian Truth is force of nature ⛈ Enjoy the show 🍿 COVFEFE MAGA TRUMP2020 Im Pro Life GREATAWAKENING WWG1WGA FB GenFlyn 🚫 DM 🚫 Trains,1.0
298,,1.0
299,Swing trade ETFs large caps Analyzing market direction Information purposes only,1.0
300,,1.0
301,🕊 Daughter of the Most High Heart of ❤ Jesus Ministries 🙏 ❤ Father ❤ Proud Mom MAGA WWG1WGA Trump God Has Plan Qanon Patriot What Is God Saying ❤ Jesus,1.0
302,⭐ ️ ⭐ ️ ⭐ ️  Loves the USA MAGA 🇺🇸 🙏 ♥ ️ 🇵🇷 Christian Patriot Praying 🙏 for awakening 🦅 🌏 🔥 ✨ 🌊,1.0
303,Military Daughter Wife Mom Grandma God Family Country Patriot Where We Go One We Go All God Bless Our Vets,1.0
304,married,1.0
305,America First 💯 MAGA KAG 🇺🇸,1.0
306,,1.0
307,,1.0
308,Balls and Brovado,1.0
309,We are wilderness organization of praying women helping each other navigate thru the circumstances of life We receive power from the shed blood of Messiah,1.0
310,⭐ ️ ⭐ ️ ⭐ ️  love for tradition has never weakened nation indeed it has strengthened nations in their hour of peril ― Winston Churchill JFK 🚨 WWG1WGA 🇺🇸 KAG,1.0
311,,1.0
312,Member of The Common Sense Party,1.0
313,,1.0
314,Patriot The Great Awakening WWG1WGA,1.0
315,God is my first love TeamJesus followback zerosuicide mentalhealth,1.0
316,Patriot 👌 Father 🤠 Legally Abused 😠 CA Family Court 🙈 🙉 🙊 Erased 👨 ‍ 👩 ‍ 👦 ‍ 👦 Drain The Swamp 🇺🇸 CONSTITUTION 📚 KAG 😎 Not PC 👽 DEPLORABLE 👊 Original Colonist Pilgrim,1.0
317,🇺🇸  Navy Combat Veteran TEXT TRUMP 88022 ❤ Truth Only NO PC BS Jesus 🙏 2A 🔫 Patriot loving AMERICAN WWG1WGA MAGA 🇺🇸 🇺🇸 🇺🇸 Trump 2Q2Q,1.0
318,🇻🇦  90s babe 💁 ‍ ♀ ️ Catholic 👸 🏻 in love with my cat and chocolate Italian 🇮🇹,1.0
